"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200187837";2022-05-26;15;6;10105;5;5;5;"555";Champions
"2000200155935";2022-06-03;7;17;10082;5;5;5;"555";Champions
"2000200205340";2022-05-23;18;5;10039;5;5;5;"555";Champions
"2000200219965";2022-05-20;21;7;10000;5;5;5;"555";Champions
"2000200175384";2022-05-21;20;7;9985;5;5;5;"555";Champions
"2000200168867";2022-05-26;15;24;9833;5;5;5;"555";Champions
"2000200170587";2022-05-27;14;7;9782;5;5;5;"555";Champions
"2000200212119";2022-06-07;3;23;9773;5;5;5;"555";Champions
"2000200229995";2022-05-25;16;5;9753;5;5;5;"555";Champions
"2000200202516";2022-06-04;6;18;9722;5;5;5;"555";Champions
"2000200184812";2022-05-28;13;11;9697;5;5;5;"555";Champions
"2000200170136";2022-05-24;17;11;9677;5;5;5;"555";Champions
"2000200211365";2022-05-26;15;20;9492;5;5;5;"555";Champions
"2000200150695";2022-06-07;3;13;9443;5;5;5;"555";Champions
"2000200182535";2022-05-28;13;11;9396;5;5;5;"555";Champions
"2000200161783";2022-06-05;5;7;9361;5;5;5;"555";Champions
"2000200213260";2022-06-06;4;10;9120;5;5;5;"555";Champions
"2000200188407";2022-06-04;6;14;9071;5;5;5;"555";Champions
"2000200201465";2022-05-27;14;5;9032;5;5;5;"555";Champions
"2000200170761";2022-05-31;10;11;9032;5;5;5;"555";Champions
"2000200240976";2022-06-09;1;9;8962;5;5;5;"555";Champions
"2000200199397";2022-05-26;15;12;8917;5;5;5;"555";Champions
"2000200231783";2022-05-23;18;7;8889;5;5;5;"555";Champions
"2000200172147";2022-05-31;10;17;8877;5;5;5;"555";Champions
"2000200171515";2022-05-19;22;11;8875;5;5;5;"555";Champions
"2000200200406";2022-05-27;14;11;8855;5;5;5;"555";Champions
"2000200194842";2022-06-09;1;12;8817;5;5;5;"555";Champions
"2000200221432";2022-05-24;17;9;8763;5;5;5;"555";Champions
"2000200192787";2022-06-09;1;11;8674;5;5;5;"555";Champions
"2000200160144";2022-05-24;17;13;8656;5;5;5;"555";Champions
"2000200247258";2022-06-09;1;5;8576;5;5;5;"555";Champions
"2000200209348";2022-05-28;13;11;8559;5;5;5;"555";Champions
"2000200229179";2022-06-06;4;5;8544;5;5;5;"555";Champions
"2000200220558";2022-06-01;9;10;8459;5;5;5;"555";Champions
"2000200212478";2022-05-27;14;14;8385;5;5;5;"555";Champions
"2000200173557";2022-05-27;14;16;8353;5;5;5;"555";Champions
"2000200201977";2022-06-09;1;16;8318;5;5;5;"555";Champions
"2000200169468";2022-05-23;18;21;8126;5;5;5;"555";Champions
"2000200173823";2022-06-05;5;23;8117;5;5;5;"555";Champions
"2000200170143";2022-06-08;2;27;8089;5;5;5;"555";Champions
"2000200189244";2022-06-05;5;8;8066;5;5;5;"555";Champions
"2000200173250";2022-05-28;13;22;8045;5;5;5;"555";Champions
"2000200176619";2022-05-30;11;11;8038;5;5;5;"555";Champions
"2000200206125";2022-06-08;2;7;7980;5;5;5;"555";Champions
"2000200152224";2022-05-23;18;9;7864;5;5;5;"555";Champions
"2000200222392";2022-05-23;18;5;7849;5;5;5;"555";Champions
"2000200173441";2022-06-03;7;9;7831;5;5;5;"555";Champions
"2000200208280";2022-06-09;1;7;7831;5;5;5;"555";Champions
"2000200225232";2022-06-05;5;11;7780;5;5;5;"555";Champions
"2000200220770";2022-06-08;2;6;7768;5;5;5;"555";Champions
"2000200160502";2022-05-30;11;8;7767;5;5;5;"555";Champions
"2000200152484";2022-06-03;7;6;7757;5;5;5;"555";Champions
"2000200202042";2022-06-05;5;10;7730;5;5;5;"555";Champions
"2000200156710";2022-06-03;7;12;7667;5;5;5;"555";Champions
"2000200222712";2022-06-08;2;16;7661;5;5;5;"555";Champions
"2000200204572";2022-05-21;20;9;7633;5;5;5;"555";Champions
"2000200239802";2022-06-06;4;9;7593;5;5;5;"555";Champions
"2000200170709";2022-05-23;18;6;7526;5;5;5;"555";Champions
"2000200175735";2022-05-30;11;5;7490;5;5;5;"555";Champions
"2000200188735";2022-06-02;8;10;7480;5;5;5;"555";Champions
"2000200212614";2022-06-07;3;10;7470;5;5;5;"555";Champions
"2000200211419";2022-06-03;7;11;7441;5;5;5;"555";Champions
"2000200171942";2022-05-25;16;16;7423;5;5;5;"555";Champions
"2000200190677";2022-05-21;20;12;7411;5;5;5;"555";Champions
"2000200213253";2022-05-24;17;7;7369;5;5;5;"555";Champions
"2000200222378";2022-05-28;13;22;7367;5;5;5;"555";Champions
"2000200173854";2022-06-05;5;13;7317;5;5;5;"555";Champions
"2000200180081";2022-06-08;2;9;7316;5;5;5;"555";Champions
"2000200186182";2022-05-23;18;13;7314;5;5;5;"555";Champions
"2000200185642";2022-05-19;22;6;7304;5;5;5;"555";Champions
"2000200225409";2022-06-07;3;7;7299;5;5;5;"555";Champions
"2000200156000";2022-05-27;14;7;7220;5;5;5;"555";Champions
"2000200247296";2022-06-02;8;8;7197;5;5;5;"555";Champions
"2000200156741";2022-05-20;21;13;7155;5;5;5;"555";Champions
